internal_row_id,canonical_name,score,bucket,hard_reject_reason,city,sector_label,sector_score,domain_tier,domain_score,scale_score,reviews_count,rating,duplicate_adjustment,duplicate_reason,identity_penalty,identity_reason,enrichment_bonus,enrichment_note,website,normalized_domain,address,google_category,relevance_status,already_enriched,google_maps_url
uae-pilot-0278,Logical Accounting & Tax Solutions (LATS),92,high_priority_verification,,Abu Dhabi,Accounting/Audit,22,ae_domain,25,20,269,4.9,0,,0,,15,already_confirmed_official_domain_in_prior_pass,http://lats.ae/,lats.ae,near Indian Model School - Mohamed Bin Zayed City - ME12 - Abu Dhabi - United Arab Emirates,Accounting firm,eligible_employer_enriched_but_unresolved,yes,https://www.google.com/maps/search/?api=1&query=Logical%20Accounting%20%26%20Tax%20Solutions%20(LATS)&query_place_id=ChIJ36ClD8s5Xj4RIt9cJYWRCS8
uae-pilot-0275,Laser Medical Center (LMC),92,high_priority_verification,,Dubai,Healthcare,22,ae_domain,25,20,362,4.8,0,,0,,15,already_confirmed_official_domain_in_prior_pass,https://lmcdubai.ae/,lmcdubai.ae,2nd December St - Jumeirah - Jumeirah 1 - Dubai - United Arab Emirates,Medical Center,eligible_employer_enriched_but_unresolved,yes,https://www.google.com/maps/search/?api=1&query=Laser%20Medical%20Center%20(LMC)&query_place_id=ChIJ76LEzfZDXz4R6dVkJ9EGfY4
uae-pilot-0023,ADMA Consulting and Accounting LLC,82,high_priority_verification,,Abu Dhabi,Accounting/Audit,22,generic_domain,15,20,191,4.9,0,,0,,15,already_confirmed_official_domain_in_prior_pass,http://www.admauae.com/,admauae.com,Al Zahiyah - E16 - Abu Dhabi - United Arab Emirates,Accounting firm,eligible_employer_enriched_but_unresolved,yes,https://www.google.com/maps/search/?api=1&query=ADMA%20Consulting%20and%20Accounting%20LLC&query_place_id=ChIJw7iRhmRnXj4R8bHUCOr8aaI
uae-pilot-0206,Fastlane Accounting and Tax Consultancy,82,high_priority_verification,,Dubai,Accounting/Audit,22,generic_domain,15,20,203,4.9,0,,0,,15,already_confirmed_official_domain_in_prior_pass,https://www.fastlanecareer.com/,fastlanecareer.com,Bank of Baroda Building - Office Number 40 - 2nd Floor - Bur Dubai - Dubai - United Arab Emirates,Accounting firm,eligible_employer_enriched_but_unresolved,yes,https://www.google.com/maps/search/?api=1&query=Fastlane%20Accounting%20and%20Tax%20Consultancy&query_place_id=ChIJuUBGrC9DXz4R5j0pTCpBZtE
uae-pilot-0289,Manila Polyclinic,82,high_priority_verification,,Dubai,Healthcare,22,generic_domain,15,20,680,4.7,0,,0,,15,already_confirmed_official_domain_in_prior_pass,https://manilapolyclinic.com/,manilapolyclinic.com,Shopping Center - Al Diyafah Street - Al Bada' - Dubai - United Arab Emirates,Medical Center,eligible_employer_enriched_but_unresolved,yes,https://www.google.com/maps/search/?api=1&query=Manila%20Polyclinic&query_place_id=ChIJk2Egx2tDXz4R2k2Zx_FJBM0
uae-pilot-0358,Pristine Medical Center,82,high_priority_verification,,Dubai,Healthcare,22,ae_domain,25,20,470,4.8,0,,0,,5,prior_pass_technical_block_worth_retry,https://pristinemedical.ae/,pristinemedical.ae,2nd December St - near Civil Defense - Al Hudaiba - Dubai - United Arab Emirates,Hospital,eligible_employer_enriched_but_unresolved,yes,https://www.google.com/maps/search/?api=1&query=Pristine%20Medical%20Center&query_place_id=ChIJRWrLRlJDXz4RsAUBhIorTUM
uae-pilot-0054,Al Moosa Clinics & Day Surgery Center (Since 1978) الموسى لجراحات اليوم الواحد,82,high_priority_verification,,Dubai,Healthcare,22,generic_domain,15,20,320,4.6,0,,0,,15,already_confirmed_official_domain_in_prior_pass,https://almoosaclinics.com/,almoosaclinics.com,30B St - Jumeirah - Jumeira First - Dubai - United Arab Emirates,Medical Center,eligible_employer_enriched_but_unresolved,yes,https://www.google.com/maps/search/?api=1&query=Al%20Moosa%20Clinics%20%26%20Day%20Surgery%20Center%20(Since%201978)%20%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%89%20%D9%84%D8%AC%D8%B1%D8%A7%D8%AD%D8%A7%D8%AA%20%D8%A7%D9%84%D9%8A%D9%88%D9%85%20%D8%A7%D9%84%D9%88%D8%A7%D8%AD%D8%AF&query_place_id=ChIJF2lZjP9CXz4Rs3dyhfmB0t8
uae-pilot-0331,Noor Al Sama Medical Center Karama,82,high_priority_verification,,Dubai,Healthcare,22,generic_domain,15,20,206,4.8,0,,0,,15,already_confirmed_official_domain_in_prior_pass,http://www.nasmcuae.com/,nasmcuae.com,37A St - Al Karama - Dubai - United Arab Emirates,Medical Center,eligible_employer_enriched_but_unresolved,yes,https://www.google.com/maps/search/?api=1&query=Noor%20Al%20Sama%20Medical%20Center%20Karama&query_place_id=ChIJjyNgUhBDXz4RSh6ZOuvqezk
uae-pilot-0300,Mediclinic Al Mamora,81,high_priority_verification,,Abu Dhabi,Healthcare,22,ae_domain,25,19,720,4.3,5,corroborated_across_multiple_search_hits,0,,0,,https://www.mediclinic.ae/en/al-mamora/home.html,mediclinic.ae,Al Hafiz St - near Paragon Hotel Apartments - Al Nahyan - E25 - Abu Dhabi - United Arab Emirates,Medical clinic;Medical Center,eligible_employer,no,https://www.google.com/maps/search/?api=1&query=Mediclinic%20Al%20Mamora&query_place_id=ChIJQypCLSpmXj4RiDssb_0QUR8
uae-pilot-0301,MF Architect | LEED | Estidama | Acoustics | Training,81,high_priority_verification,,Abu Dhabi,Architecture,25,generic_domain,15,16,89,5.0,0,,0,,15,already_confirmed_official_domain_in_prior_pass,https://www.archmfrancis.com/,archmfrancis.com,Incubator Building Fr. Floor - Masdar City - SE45 05 - Abu Dhabi - United Arab Emirates,Architecture firm,eligible_employer_enriched_but_unresolved,yes,https://www.google.com/maps/search/?api=1&query=MF%20Architect%20%7C%20LEED%20%7C%20Estidama%20%7C%20Acoustics%20%7C%20Training&query_place_id=ChIJT46o429nXj4RtWH_Y8jsfX0
