candidate_id,market,company_name,sector,discovered_via_source_id,evidence_url,in_master_registry,master_registry_canonical_id,verification_status,notes
cand-lb-001,Lebanon,Proximie,healthcare_tech_augmented_reality,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,yes,cc-proximie,already_in_master_registry,"Confirms the BDD directory surfaces real, already-vetted companies rather than only novel ones - a useful cross-check on source quality."
cand-lb-002,Lebanon,SE Factory,edtech_coding_bootcamp,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,yes,cc-se-factory,already_in_master_registry,"Second confirmed overlap with the existing registry; both overlaps came from the BDD member list, none from HireLebanese."
cand-lb-003,Lebanon,Fundbot,fintech_payments_infrastructure,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,Listed as a current BDD member; own official domain/careers page not fetched this pilot pass - would need direct verification before adding to the production registry.
cand-lb-004,Lebanon,Zero&One,cloud_computing,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Same caveat as above - directory listing only, not independently verified this pass."
cand-lb-005,Lebanon,CoinQuant,fintech_ml_data_analytics,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass."
cand-lb-006,Lebanon,Bluering,fintech_commercial,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass."
cand-lb-007,Lebanon,Saugo 360,software_networking_services,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass."
cand-lb-008,Lebanon,SerVme,data_analytics_restaurant_tech,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass."
cand-lb-009,Lebanon,Shelvz,saas_field_force_management,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass."
cand-lb-010,Lebanon,Middle East Venture Partners,venture_capital,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass; VC firms are typically small headcount - low early-career-relevance expected but unconfirmed."
cand-lb-011,Lebanon,Webedia Arabia,media_technology,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass."
cand-lb-012,Lebanon,ITP Media Group,media,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass; ITP Media Group is a larger regional publisher - may already have Gulf-market presence worth cross-checking in later markets."
cand-lb-013,Lebanon,Endeavor Lebanon,entrepreneurship_support_ngo,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass."
cand-lb-014,Lebanon,FabricAID,social_enterprise_sustainable_apparel,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass."
cand-lb-015,Lebanon,IBX Logistics,logistics_supply_chain,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass."
cand-lb-016,Lebanon,Idea SAL,engineering_consultancy,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass; site states founded 1996, suggesting an established firm worth prioritizing in a future verification pass."
cand-lb-017,Lebanon,Euromena Consulting,management_consulting,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass."
cand-lb-018,Lebanon,42 Beirut,tech_education_nonprofit,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass; described as a tuition-free tech school - high early-career relevance likely but unconfirmed."
cand-lb-019,Lebanon,Quiqup,delivery_logistics,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass."
cand-lb-020,Lebanon,Artefact,data_driven_consulting,src-lb-bdd-members,https://beirutdigitaldistrict.com/members/,no,,new_candidate_pilot_unverified,"Directory listing only, not independently verified this pass."
cand-lb-021,Lebanon,Malia Group,multi_sector_conglomerate,src-lb-hirelebanese,https://hirelebanese.com/,no,,new_candidate_pilot_unverified,Listed as an actively hiring company on HireLebanese's homepage; own official domain/careers page not fetched this pilot pass.
cand-lb-022,Lebanon,MADAREK GROUP,engineering_construction,src-lb-hirelebanese,https://hirelebanese.com/,no,,new_candidate_pilot_unverified,Listed as an actively hiring company on HireLebanese's homepage; own official domain/careers page not fetched this pilot pass.
cand-sa-001,Saudi Arabia,Rewaa,retail_saas_b2b_software,src-sa-growthlist,https://growthlist.co/saudi-arabia-startups/,yes,cc-rewaa,already_in_master_registry,"Confirms GrowthList.co surfaces real, already-vetted companies as a cross-check on source quality."
cand-sa-002,Saudi Arabia,Foodics,retail_tech_saas,src-sa-growthlist,https://growthlist.co/saudi-arabia-startups/,yes,cc-foodics,already_in_master_registry,Second confirmed overlap from the same source.
cand-sa-003,Saudi Arabia,Tamara,fintech_bnpl,src-sa-growthlist,https://growthlist.co/saudi-arabia-startups/,yes,cc-tamara,already_in_master_registry,Third confirmed overlap from the same source.
cand-sa-004,Saudi Arabia,Geidea,fintech_payments_pos,src-sa-fintech-saudi-map,https://fintechsaudi.com/fintech-map/,yes,cc-geidea,already_in_master_registry,"Cross-source signal: appears independently on both GrowthList-adjacent fintech coverage and the official Fintech Saudi map, reinforcing the existing registry row's legitimacy rather than adding new information."
