source,external_job_id,job_url,company_name,normalized_company_name,title,employment_type,published_at,expires_at,remote_region,location_restrictions,lebanon_eligibility,eligibility_evidence,role_family,source_record_fetched_at,reconciliation_status
himalayas,https://himalayas.app/companies/evaboot/jobs/agentic-python-engineer,https://himalayas.app/companies/evaboot/jobs/agentic-python-engineer,Evaboot,Evaboot,Agentic Python Engineer,Full Time,2026-08-31T15:09:48Z,2026-09-30T15:09:47Z,worldwide_remote,[],worldwide_remote,"locationRestrictions is an empty array; per Himalayas' own official API documentation, 'empty array means worldwide' eligibility (structured tier-4 evidence, not inferred from text).",software_data_ai_it,2026-09-04T16:57:33Z,new_candidate
himalayas,https://himalayas.app/companies/micro1/jobs/biglaw-lawyers-3239214341,https://himalayas.app/companies/micro1/jobs/biglaw-lawyers-3239214341,micro1,micro1,BigLaw lawyers,Contractor,2026-09-04T15:50:12Z,2026-10-21T17:51:25Z,worldwide_remote,[],worldwide_remote,"locationRestrictions is an empty array; per Himalayas' own official API documentation, 'empty array means worldwide' eligibility (structured tier-4 evidence, not inferred from text).",other_unclassified,2026-09-04T16:57:33Z,new_candidate
himalayas,https://himalayas.app/companies/micro1/jobs/mergers-acquisitions-m-a-attorney-biglaw-firms,https://himalayas.app/companies/micro1/jobs/mergers-acquisitions-m-a-attorney-biglaw-firms,micro1,micro1,Mergers & Acquisitions (M&A) Attorney (BigLaw Firms),Contractor,2026-09-04T15:50:12Z,2026-10-21T03:30:54Z,worldwide_remote,[],worldwide_remote,"locationRestrictions is an empty array; per Himalayas' own official API documentation, 'empty array means worldwide' eligibility (structured tier-4 evidence, not inferred from text).",design,2026-09-04T16:57:33Z,new_candidate
himalayas,https://himalayas.app/companies/micro1/jobs/biglaw-lawyers-litigation-corporate-m-a,https://himalayas.app/companies/micro1/jobs/biglaw-lawyers-litigation-corporate-m-a,micro1,micro1,BigLaw lawyers (Litigation/Corporate/M&A),Contractor,2026-09-04T15:50:12Z,2026-10-18T01:20:15Z,worldwide_remote,[],worldwide_remote,"locationRestrictions is an empty array; per Himalayas' own official API documentation, 'empty array means worldwide' eligibility (structured tier-4 evidence, not inferred from text).",other_unclassified,2026-09-04T16:57:33Z,new_candidate
himalayas,https://himalayas.app/companies/freestar/jobs/senior-director-publisher-sales-1872125264,https://himalayas.app/companies/freestar/jobs/senior-director-publisher-sales-1872125264,Freestar,Freestar,"Senior Director, Publisher Sales",Full Time,2026-09-04T15:05:03Z,2026-11-03T15:05:03Z,worldwide_remote,[],worldwide_remote,"locationRestrictions is an empty array; per Himalayas' own official API documentation, 'empty array means worldwide' eligibility (structured tier-4 evidence, not inferred from text).",sales_business_development,2026-09-04T16:57:33Z,new_candidate
himalayas,https://himalayas.app/companies/kraymer-art/jobs/influencer-and-creator-partnerships-manager-7734991265,https://himalayas.app/companies/kraymer-art/jobs/influencer-and-creator-partnerships-manager-7734991265,Kraymer Art,Kraymer Art,Influencer and Creator Partnerships Manager,Full Time,2026-09-04T14:07:35Z,2026-11-03T14:07:34Z,worldwide_remote,[],worldwide_remote,"locationRestrictions is an empty array; per Himalayas' own official API documentation, 'empty array means worldwide' eligibility (structured tier-4 evidence, not inferred from text).",marketing_content,2026-09-04T16:57:33Z,new_candidate
himalayas,https://himalayas.app/companies/embark/jobs/customer-engagement-representative,https://himalayas.app/companies/embark/jobs/customer-engagement-representative,Embark,Embark,Customer Engagement Representative,Contractor,2026-09-04T14:03:46Z,2026-11-03T14:03:45Z,worldwide_remote,[],worldwide_remote,"locationRestrictions is an empty array; per Himalayas' own official API documentation, 'empty array means worldwide' eligibility (structured tier-4 evidence, not inferred from text).",customer_support,2026-09-04T16:57:33Z,new_candidate
himalayas,https://himalayas.app/companies/stellar-tech/jobs/senior-data-analyst,https://himalayas.app/companies/stellar-tech/jobs/senior-data-analyst,Stellar Tech,Stellar Tech,Senior Data Analyst,Contractor,2026-09-04T13:38:35Z,2026-11-03T13:38:35Z,worldwide_remote,[],worldwide_remote,"locationRestrictions is an empty array; per Himalayas' own official API documentation, 'empty array means worldwide' eligibility (structured tier-4 evidence, not inferred from text).",software_data_ai_it,2026-09-04T16:57:33Z,new_candidate
himalayas,https://himalayas.app/companies/restorixhealth-u00ae/jobs/healthcare-revenue-cycle-representative-remote,https://himalayas.app/companies/restorixhealth-u00ae/jobs/healthcare-revenue-cycle-representative-remote,RestorixHealth \u00ae,RestorixHealth \u00ae,Healthcare Revenue Cycle Representative - Remote,Full Time,2026-09-04T13:21:56Z,2026-11-03T13:21:55Z,worldwide_remote,[],worldwide_remote,"locationRestrictions is an empty array; per Himalayas' own official API documentation, 'empty array means worldwide' eligibility (structured tier-4 evidence, not inferred from text).",other_unclassified,2026-09-04T16:57:33Z,new_candidate
himalayas,https://himalayas.app/companies/greenpeace-international/jobs/operations-security-intern,https://himalayas.app/companies/greenpeace-international/jobs/operations-security-intern,Greenpeace International,Greenpeace International,Operations & Security Intern,Intern,2026-09-04T12:36:54Z,2026-11-03T12:36:53Z,unspecified_by_api,"[""Lebanon""]",explicitly_hires_in_lebanon,locationRestrictions explicitly includes 'Lebanon': ['Lebanon'],administration_operations,2026-09-04T16:57:33Z,new_candidate
